"Title","Artist(s)","Year","Rank"
"""Can't Fight This Feeling""","REO Speedwagon",1985,13
"""We Built This City""","Starship",1985,14
"""The Power of Love""","Huey Lewis and the News",1985,15
"""Don't You (Forget About Me)""","Simple Minds",1985,16
"""Cherish""","Kool & the Gang",1985,17
"""St. Elmo's Fire (Man in Motion)""","John Parr",1985,18
"""The Heat Is On""","Glenn Frey",1985,19
"""We Are the World""","USA for Africa",1985,20
"""That's What Friends Are For""","Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)",1986,1
"""Say You, Say Me""","Lionel Richie",1986,2
"""I Miss You""","Klymaxx",1986,3
"""On My Own""","Patti LaBelle and Michael McDonald",1986,4
"""Broken Wings""","Mr. Mister",1986,5
"""How Will I Know""","Whitney Houston",1986,6
"""Party All the Time""","Eddie Murphy",1986,7
"""Burning Heart""","Survivor",1986,8
"""Kyrie""","Mr. Mister",1986,9
"""Addicted to Love""","Robert Palmer",1986,10
"""The Greatest Love of All""","Whitney Houston",1986,11
"""Secret Lovers""","Atlantic Starr",1986,12
"""Friends and Lovers""","Gloria Loring and Carl Anderson",1986,13
"""Glory of Love""","Peter Cetera",1986,14
"""West End Girls""","Pet Shop Boys",1986,15
"""There'll Be Sad Songs (To Make You Cry)""","Billy Ocean",1986,16
"""Alive and Kicking""","Simple Minds",1986,17
"""Never""","Heart",1986,18
"""Kiss""","Prince and The Revolution",1986,19
"""Higher Love""","Steve Winwood",1986,20
"""Walk Like An Egyptian""","The Bangles",1987,1
"""Alone""","Heart",1987,2
"""Shake You Down""","Gregory Abbott",1987,3
"""I Wanna Dance with Somebody (Who Loves Me)""","Whitney Houston",1987,4
"""Nothing's Gonna Stop Us Now""","Starship",1987,5
"""C'est La Vie""","Robbie Nevil",1987,6
"""Here I Go Again""","Whitesnake",1987,7
"""The Way It Is""","Bruce Hornsby and the Range",1987,8
"""Shakedown""","Bob Seger",1987,9
"""Livin' on a Prayer""","Bon Jovi",1987,10
"""La Bamba""","Los Lobos",1987,11
"""Everybody Have Fun Tonight""","Wang Chung",1987,12
"""Don't Dream It's Over""","Crowded House",1987,13
"""Always""","Atlantic Starr",1987,14
"""With or Without You""","U2",1987,15
"""Looking for a New Love""","Jody Watley",1987,16
"""Head to Toe""","Lisa Lisa and Cult Jam",1987,17
"""I Think We're Alone Now""","Tiffany",1987,18
"""Mony Mony""","Billy Idol",1987,19
"""At This Moment""","Billy Vera and the Beaters",1987,20
"""Faith""","George Michael",1988,1
"""Need You Tonight""","INXS",1988,2
"""Got My Mind Set on You""","George Harrison",1988,3
"""Never Gonna Give You Up""","Rick Astley",1988,4
"""Sweet Child o' Mine""","Guns N' Roses",1988,5
"""So Emotional""","Whitney Houston",1988,6
"""Heaven Is a Place on Earth""","Belinda Carlisle",1988,7
"""Could've Been""","Tiffany",1988,8
"""Hands to Heaven""","Breathe",1988,9
"""Roll with It""","Steve Winwood",1988,10
"""One More Try""","George Michael",1988,11
"""Wishing Well""","Terence Trent D'Arby",1988,12
"""Anything for You""","Gloria Estefan and Miami Sound Machine",1988,13
"""The Flame""","Cheap Trick",1988,14
"""Get Outta My Dreams, Get into My Car""","Billy Ocean",1988,15
"""Seasons Change""","Exposé",1988,16
"""Is This Love""","Whitesnake",1988,17
"""Wild, Wild West""","The Escape Club",1988,18
"""Pour Some Sugar on Me""","Def Leppard",1988,19
"""I'll Always Love You""","Taylor Dayne",1988,20
"""Look Away""","Chicago",1989,1
"""My Prerogative""","Bobby Brown",1989,2
"""Every Rose Has Its Thorn""","Poison",1989,3
"""Straight Up""","Paula Abdul",1989,4
"""Miss You Much""","Janet Jackson",1989,5
"""Cold Hearted""","Paula Abdul",1989,6
"""Wind Beneath My Wings""","Bette Midler",1989,7
"""Girl You Know It's True""","Milli Vanilli",1989,8
"""Baby, I Love Your Way/Freebird Medley""","Will to Power",1989,9
"""Giving You the Best That I Got""","Anita Baker",1989,10
"""Right Here Waiting""","Richard Marx",1989,11
"""Waiting For a Star to Fall""","Boy Meets Girl",1989,12
"""Lost in Your Eyes""","Debbie Gibson",1989,13
"""Don't Wanna Lose You""","Gloria Estefan",1989,14
"""Heaven""","Warrant",1989,15
"""Girl I'm Gonna Miss You""","Milli Vanilli",1989,16
"""The Look""","Roxette",1989,17
"""She Drives Me Crazy""","Fine Young Cannibals",1989,18
"""On Our Own""","Bobby Brown",1989,19
"""Two Hearts""","Phil Collins",1989,20
"""Hold On""","Wilson Phillips",1990,1
"""It Must Have Been Love""","Roxette",1990,2
"""Nothing Compares 2 U""","Sinéad O'Connor",1990,3
"""Poison""","Bell Biv DeVoe",1990,4
"""Vogue""","Madonna",1990,5
"""Vision of Love""","Mariah Carey",1990,6
"""Another Day in Paradise""","Phil Collins",1990,7
"""Hold On""","En Vogue",1990,8
"""Cradle of Love""","Billy Idol",1990,9
"""Blaze of Glory""","Jon Bon Jovi",1990,10
"""Do Me!""","Bell Biv DeVoe",1990,11
"""How Am I Supposed to Live Without You""","Michael Bolton",1990,12
"""Pump Up the Jam""","Technotronic",1990,13
"""Opposites Attract""","Paula Abdul",1990,14
"""Escapade""","Janet Jackson",1990,15
"""All I Wanna Do Is Make Love to You""","Heart",1990,16
"""Close to You""","Maxi Priest",1990,17
"""Black Velvet""","Alannah Myles",1990,18
"""Release Me""","Wilson Phillips",1990,19
"""Don't Know Much""","Linda Ronstadt featuring Aaron Neville",1990,20
"""(Everything I Do) I Do It for You""","Bryan Adams",1991,1
"""I Wanna Sex You Up""","Color Me Badd",1991,2
"""Gonna Make You Sweat (Everybody Dance Now)""","C+C Music Factory",1991,3
"""Rush Rush""","Paula Abdul",1991,4
"""One More Try""","Timmy T",1991,5
"""Unbelievable""","EMF",1991,6
"""More Than Words""","Extreme",1991,7
"""I Like the Way (The Kissing Game)""","Hi-Five",1991,8
"""The First Time""","Surface",1991,9
"""Baby Baby""","Amy Grant",1991,10
"""Motownphilly""","Boyz II Men",1991,11
"""Because I Love You (The Postman Song)""","Stevie B",1991,12
"""Someday""","Mariah Carey",1991,13
"""High Enough""","Damn Yankees",1991,14
"""From a Distance""","Bette Midler",1991,15
"""All the Man That I Need""","Whitney Houston",1991,16
"""Right Here, Right Now""","Jesus Jones",1991,17
"""I Adore Mi Amor""","Color Me Badd",1991,18
"""Love Will Never Do (Without You)""","Janet Jackson",1991,19
"""Good Vibrations""","Marky Mark and the Funky Bunch featuring Loleatta Holloway",1991,20
"""End of the Road""","Boyz II Men",1992,1
"""Baby Got Back""","Sir Mix-a-Lot",1992,2
"""Jump""","Kris Kross",1992,3
"""Save the Best for Last""","Vanessa Williams",1992,4
"""Baby-Baby-Baby""","TLC",1992,5
"""Tears in Heaven""","Eric Clapton",1992,6
"""My Lovin' (You're Never Gonna Get It)""","En Vogue",1992,7
"""Under the Bridge""","Red Hot Chili Peppers",1992,8
"""All 4 Love""","Color Me Badd",1992,9
"""Just Another Day""","Jon Secada",1992,10
"""I Love Your Smile""","Shanice",1992,11
"""To Be with You""","Mr. Big",1992,12
"""I'm Too Sexy""","Right Said Fred",1992,13
"""Black or White""","Michael Jackson",1992,14
"""Achy Breaky Heart""","Billy Ray Cyrus",1992,15
"""I'll Be There""","Mariah Carey",1992,16
"""November Rain""","Guns N' Roses",1992,17
"""Life Is a Highway""","Tom Cochrane",1992,18
"""Remember the Time""","Michael Jackson",1992,19
"""Finally""","CeCe Peniston",1992,20
"""I Will Always Love You""","Whitney Houston",1993,1
"""Whoomp! (There It Is)""","Tag Team",1993,2
"""Can't Help Falling in Love""","UB40",1993,3
"""That's the Way Love Goes""","Janet Jackson",1993,4
"""Freak Me""","Silk",1993,5
"""Weak""","SWV",1993,6
"""If I Ever Fall in Love""","Shai",1993,7
"""Dreamlover""","Mariah Carey",1993,8
"""Rump Shaker""","Wreckx-n-Effect",1993,9
"""Informer""","Snow",1993,10
"""Nuthin' but a 'G' Thang""","Dr. Dre",1993,11
"""In the Still of the Nite""","Boyz II Men",1993,12
"""Don't Walk Away""","Jade",1993,13
"""Knockin' da Boots""","H-Town",1993,14
"""Lately""","Jodeci",1993,15
"""Dazzey Duks""","Duice",1993,16
"""Show Me Love""","Robin S.",1993,17
"""A Whole New World""","Peabo Bryson and Regina Belle",1993,18
"""If""","Janet Jackson",1993,19
"""I'm So Into You""","SWV",1993,20
"""The Sign""","Ace of Base",1994,1
"""I Swear""","All-4-One",1994,2
"""I'll Make Love to You""","Boyz II Men",1994,3
"""The Power of Love""","Celine Dion",1994,4
"""Hero""","Mariah Carey",1994,5
"""Stay (I Missed You)""","Lisa Loeb and Nine Stories",1994,6
"""Breathe Again""","Toni Braxton",1994,7
"""All for Love""","Bryan Adams, Rod Stewart and Sting",1994,8
"""All That She Wants""","Ace of Base",1994,9
"""Don't Turn Around""","Ace of Base",1994,10
"""Bump n' Grind""","R. Kelly",1994,11
"""Again""","Janet Jackson",1994,12
"""I'll Remember""","Madonna",1994,13
"""Whatta Man""","Salt-n-Pepa featuring En Vogue",1994,14
"""Wild Night""","John Mellencamp with Meshell Ndegeocello",1994,15
"""Without You"" / ""Never Forget You""","Mariah Carey",1994,16
"""You Mean the World to Me""","Toni Braxton",1994,17
"""Can You Feel the Love Tonight""","Elton John",1994,18
"""The Most Beautiful Girl in the World""","Prince",1994,19
"""Fantastic Voyage""","Coolio",1994,20
"""Gangsta's Paradise""","Coolio featuring L.V.",1995,1
"""Waterfalls""","TLC",1995,2
"""Creep""","TLC",1995,3
"""Kiss from a Rose""","Seal",1995,4
"""On Bended Knee""","Boyz II Men",1995,5
"""Another Night""","Real McCoy",1995,6
"""Fantasy""","Mariah Carey",1995,7
"""Take a Bow""","Madonna",1995,8
"""Don't Take It Personal (Just One of Dem Days)""","Monica",1995,9
"""This Is How We Do It""","Montell Jordan",1995,10
"""I Know""","Dionne Farris",1995,11
"""Water Runs Dry""","Boyz II Men",1995,12
"""Freak Like Me""","Adina Howard",1995,13
"""Run-Around""","Blues Traveler",1995,14
"""I Can Love You Like That""","All-4-One",1995,15
"""Have You Ever Really Loved a Woman?""","Bryan Adams",1995,16
"""Always""","Bon Jovi",1995,17
"""Boombastic"" / ""In the Summertime""","Shaggy",1995,18
"""Total Eclipse of the Heart""","Nicki French",1995,19
"""You Gotta Be""","Des'ree",1995,20
"""Macarena (Bayside Boys Mix)""","Los del Río",1996,1
"""One Sweet Day""","Mariah Carey and Boyz II Men",1996,2
"""Because You Loved Me""","Celine Dion",1996,3
"""Nobody Knows""","The Tony Rich Project",1996,4
"""Always Be My Baby""","Mariah Carey",1996,5
"""Give Me One Reason""","Tracy Chapman",1996,6
"""Tha Crossroads""","Bone Thugs-n-Harmony",1996,7
"""I Love You Always Forever""","Donna Lewis",1996,8
"""You're Makin' Me High"" / ""Let It Flow""","Toni Braxton",1996,9
"""Twisted""","Keith Sweat",1996,10
"""C'mon N' Ride It (The Train)""","Quad City DJ's",1996,11
"""Missing""","Everything but the Girl",1996,12
"""Ironic""","Alanis Morissette",1996,13
"""Exhale (Shoop Shoop)""","Whitney Houston",1996,14
"""Follow You Down"" / ""Til I Hear It from You""","Gin Blossoms",1996,15
"""Sittin' Up in My Room""","Brandy",1996,16
"""How Do U Want It"" / ""California Love""","2Pac featuring K-Ci and JoJo / 2Pac featuring Dr. Dre and Roger Troutman",1996,17
"""It's All Coming Back to Me Now""","Celine Dion",1996,18
"""Change the World""","Eric Clapton",1996,19
"""Hey Lover""","LL Cool J featuring Boyz II Men",1996,20
"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""","Elton John",1997,1
"""You Were Meant for Me"" / ""Foolish Games""","Jewel",1997,2
"""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997,3
"""Un-Break My Heart""","Toni Braxton",1997,4
"""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997,5
"""I Believe I Can Fly""","R. Kelly",1997,6
"""Don't Let Go (Love)""","En Vogue",1997,7
"""Return of the Mack""","Mark Morrison",1997,8
"""How Do I Live""","LeAnn Rimes",1997,9
"""Wannabe""","Spice Girls",1997,10
"""Quit Playing Games (With My Heart)""","Backstreet Boys",1997,11
"""MMMBop""","Hanson",1997,12
"""For You I Will""","Monica",1997,13
"""You Make Me Wanna...""","Usher",1997,14
"""Bitch""","Meredith Brooks",1997,15
"""Nobody""","Keith Sweat featuring Athena Cage",1997,16
"""Semi-Charmed Life""","Third Eye Blind",1997,17
"""Barely Breathing""","Duncan Sheik",1997,18
"""Hard to Say I'm Sorry""","Az Yet featuring Peter Cetera",1997,19
"""Mo Money Mo Problems""","The Notorious B.I.G. featuring Puff Daddy and Mase",1997,20
"""Too Close""","Next",1998,1
"""The Boy Is Mine""","Brandy and Monica",1998,2
"""You're Still the One""","Shania Twain",1998,3
"""Truly Madly Deeply""","Savage Garden",1998,4
"""How Do I Live""","LeAnn Rimes",1998,5
"""Together Again""","Janet",1998,6
"""All My Life""","K-Ci & JoJo",1998,7
"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""","Elton John",1998,8
"""Nice & Slow""","Usher",1998,9
"""I Don't Want to Wait""","Paula Cole",1998,10
"""How's It Going to Be""","Third Eye Blind",1998,11
"""No, No, No""","Destiny's Child",1998,12
"""My Heart Will Go On""","Celine Dion",1998,13
"""Gettin' Jiggy wit It""","Will Smith",1998,14
"""You Make Me Wanna...""","Usher",1998,15
"""My Way""","Usher",1998,16
"""My All""","Mariah Carey",1998,17
"""The First Night""","Monica",1998,18
"""Been Around the World""","Puff Daddy & the Family featuring The Notorious B.I.G. and Mase",1998,19
"""Adia""","Sarah McLachlan",1998,20
"""Believe""","Cher",1999,1
"""No Scrubs""","TLC",1999,2
"""Angel of Mine""","Monica",1999,3
"""Heartbreak Hotel""","Whitney Houston featuring Faith Evans and Kelly Price",1999,4
"""...Baby One More Time""","Britney Spears",1999,5
"""Kiss Me""","Sixpence None the Richer",1999,6
"""Genie in a Bottle""","Christina Aguilera",1999,7
"""Every Morning""","Sugar Ray",1999,8
"""Nobody's Supposed to Be Here""","Deborah Cox",1999,9
"""Livin' la Vida Loca""","Ricky Martin",1999,10
"""Where My Girls At?""","702",1999,11
"""If You Had My Love""","Jennifer Lopez",1999,12
"""Slide""","Goo Goo Dolls",1999,13
"""Have You Ever?""","Brandy",1999,14
"""I Want It That Way""","Backstreet Boys",1999,15
"""I'm Your Angel""","R. Kelly and Celine Dion",1999,16
"""All Star""","Smash Mouth",1999,17
"""Angel""","Sarah McLachlan",1999,18
"""Smooth""","Santana featuring Rob Thomas",1999,19
"""Unpretty""","TLC",1999,20
"""Breathe""","Faith Hill",2000,1
"""Smooth""","Santana featuring Rob Thomas",2000,2
"""Maria Maria""","Santana featuring The Product G&B",2000,3
"""I Wanna Know""","Joe",2000,4
"""Everything You Want""","Vertical Horizon",2000,5
"""Say My Name""","Destiny's Child",2000,6
"""I Knew I Loved You""","Savage Garden",2000,7
"""Amazed""","Lonestar",2000,8
"""Bent""","Matchbox Twenty",2000,9
"""He Wasn't Man Enough""","Toni Braxton",2000,10
"""Higher""","Creed",2000,11
"""Try Again""","Aaliyah",2000,12
"""Jumpin', Jumpin'""","Destiny's Child",2000,13
"""Thong Song""","Sisqó",2000,14
"""Kryptonite""","3 Doors Down",2000,15
"""There You Go""","Pink",2000,16
"""Music""","Madonna",2000,17
"""Doesn't Really Matter""","Janet Jackson",2000,18
"""What a Girl Wants""","Christina Aguilera",2000,19
"""Back at One""","Brian McKnight",2000,20
"""Hanging by a Moment""","Lifehouse",2001,1
"""Fallin'""","Alicia Keys",2001,2
"""All for You""","Janet Jackson",2001,3
"""Drops of Jupiter (Tell Me)""","Train",2001,4
"""I'm Real (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2001,5
"""If You're Gone""","Matchbox Twenty",2001,6
"""Let Me Blow Ya Mind""","Eve featuring Gwen Stefani",2001,7
"""Thank You""","Dido",2001,8
"""Again""","Lenny Kravitz",2001,9
"""Independent Women Part I""","Destiny's Child",2001,10
"""Hit 'Em Up Style (Oops!)""","Blu Cantrell",2001,11
"""It Wasn't Me""","Shaggy featuring Rikrok",2001,12
"""Stutter""","Joe featuring Mystikal",2001,13
"""It's Been Awhile""","Staind",2001,14
"""U Remind Me""","Usher",2001,15
"""Where the Party At""","Jagged Edge with Nelly",2001,16
"""Angel""","Shaggy featuring Rayvon",2001,17
"""Ride wit Me""","Nelly featuring City Spud",2001,18
"""Follow Me""","Uncle Kracker",2001,19
"""Peaches & Cream""","112",2001,20
"""How You Remind Me""","Nickelback",2002,1
"""Foolish""","Ashanti",2002,2
"""Hot in Herre""","Nelly",2002,3
"""Dilemma""","Nelly featuring Kelly Rowland",2002,4
"""Wherever You Will Go""","The Calling",2002,5
"""A Thousand Miles""","Vanessa Carlton",2002,6
"""In the End""","Linkin Park",2002,7
"""What's Luv?""","Fat Joe featuring Ashanti",2002,8
"""U Got It Bad""","Usher",2002,9
"""Blurry""","Puddle of Mudd",2002,10
"""Complicated""","Avril Lavigne",2002,11
"""Always on Time""","Ja Rule featuring Ashanti",2002,12
"""Ain't It Funny (Murder Remix)""","Jennifer Lopez featuring Ja Rule",2002,13
"""The Middle""","Jimmy Eat World",2002,14
"""I Need a Girl (Part One)""","P. Diddy featuring Usher and Loon",2002,15
"""U Don't Have to Call""","Usher",2002,16
"""Family Affair""","Mary J. Blige",2002,17
"""I Need a Girl (Part Two)""","P. Diddy featuring Ginuwine, Loon and Mario Winans",2002,18
"""Gangsta Lovin'""","Eve featuring Alicia Keys",2002,19
"""My Sacrifice""","Creed",2002,20
"""In da Club""","50 Cent",2003,1
"""Ignition""","R. Kelly",2003,2
"""Get Busy""","Sean Paul",2003,3
"""Crazy in Love""","Beyoncé featuring Jay-Z",2003,4
"""When I'm Gone""","3 Doors Down",2003,5
"""Unwell""","Matchbox Twenty",2003,6
"""Right Thurr""","Chingy",2003,7
"""Miss You""","Aaliyah",2003,8
"""Picture""","Kid Rock featuring Sheryl Crow",2003,9
"""Bring Me to Life""","Evanescence featuring Paul McCoy",2003,10
"""Get Low""","Lil Jon & The East Side Boyz featuring Ying Yang Twins",2003,11
"""Baby Boy""","Beyoncé featuring Sean Paul",2003,12
"""Shake Ya Tailfeather""","Nelly, P. Diddy and Murphy Lee",2003,13
"""21 Questions""","50 Cent featuring Nate Dogg",2003,14
"""All I Have""","Jennifer Lopez featuring LL Cool J",2003,15
"""Beautiful""","Christina Aguilera",2003,16
"""I Know What You Want""","Busta Rhymes and Mariah Carey featuring Flipmode Squad",2003,17
"""I'm with You""","Avril Lavigne",2003,18
"""Drift Away""","Uncle Kracker featuring Dobie Gray",2003,19
"""Magic Stick""","Lil' Kim featuring 50 Cent",2003,20
"""Yeah!""","Usher featuring Lil Jon and Ludacris",2004,1
"""Burn""","Usher",2004,2
"""If I Ain't Got You""","Alicia Keys",2004,3
"""This Love""","Maroon 5",2004,4
"""The Way You Move""","OutKast featuring Sleepy Brown",2004,5
"""The Reason""","Hoobastank",2004,6
"""I Don't Wanna Know""","Mario Winans featuring Enya and P. Diddy",2004,7
"""Hey Ya!""","OutKast",2004,8
"""Goodies""","Ciara featuring Petey Pablo",2004,9
"""Lean Back""","Terror Squad featuring Fat Joe and Remy Ma",2004,10
"""Tipsy""","J-Kwon",2004,11
"""Confessions Part II""","Usher",2004,12
"""Slow Motion""","Juvenile featuring Soulja Slim",2004,13
"""Freek-a-Leek""","Petey Pablo",2004,14
"""Here Without You""","3 Doors Down",2004,15
"""Slow Jamz""","Twista featuring Kanye West and Jamie Foxx",2004,16
"""Someday""","Nickelback",2004,17
"""Naughty Girl""","Beyoncé",2004,18
"""My Immortal""","Evanescence",2004,19
"""Sunshine""","Lil' Flip featuring Lea",2004,20
"""We Belong Together""","Mariah Carey",2005,1
"""Hollaback Girl""","Gwen Stefani",2005,2
"""Let Me Love You""","Mario",2005,3
"""Since U Been Gone""","Kelly Clarkson",2005,4
"""1, 2 Step""","Ciara featuring Missy Elliott",2005,5
"""Gold Digger""","Kanye West featuring Jamie Foxx",2005,6
"""Boulevard of Broken Dreams""","Green Day",2005,7
"""Candy Shop""","50 Cent featuring Olivia",2005,8
"""Don't Cha""","The Pussycat Dolls featuring Busta Rhymes",2005,9
"""Behind These Hazel Eyes""","Kelly Clarkson",2005,10
"""Disco Inferno""","50 Cent",2005,11
"""You and Me""","Lifehouse",2005,12
"""Don't Phunk with My Heart""","The Black Eyed Peas",2005,13
"""Lose Control""","Missy Elliott featuring Ciara and Fatman Scoop",2005,14
"""Shake It Off""","Mariah Carey",2005,15
"""Mr. Brightside""","The Killers",2005,16
"""Just a Lil Bit""","50 Cent",2005,17
"""Pon de Replay""","Rihanna",2005,18
"""How We Do""","The Game featuring 50 Cent",2005,19
"""Beverly Hills""","Weezer",2005,20
"""Bad Day""","Daniel Powter",2006,1
"""Temperature""","Sean Paul",2006,2
"""Promiscuous""","Nelly Furtado featuring Timbaland",2006,3
"""You're Beautiful""","James Blunt",2006,4
"""Hips Don't Lie""","Shakira featuring Wyclef Jean",2006,5
"""Unwritten""","Natasha Bedingfield",2006,6
"""Crazy""","Gnarls Barkley",2006,7
"""Ridin'""","Chamillionaire featuring Krayzie Bone",2006,8
"""SexyBack""","Justin Timberlake featuring Timbaland",2006,9
"""Check on It""","Beyoncé featuring Slim Thug and Bun B",2006,10
"""Be Without You""","Mary J. Blige",2006,11
"""Grillz""","Nelly featuring Paul Wall and Ali & Gipp",2006,12
"""Over My Head (Cable Car)""","The Fray",2006,13
"""Me & U""","Cassie",2006,14
"""Buttons""","Pussycat Dolls featuring Snoop Dogg",2006,15
"""Run It!""","Chris Brown featuring Juelz Santana",2006,16
"""So Sick""","Ne-Yo",2006,17
"""It's Goin' Down""","Yung Joc featuring Nitti",2006,18
"""SOS""","Rihanna",2006,19
"""I Write Sins Not Tragedies""","Panic! at the Disco",2006,20
"""Irreplaceable""","Beyoncé",2007,1
"""Umbrella""","Rihanna featuring Jay-Z",2007,2
"""The Sweet Escape""","Gwen Stefani featuring Akon",2007,3
"""Big Girls Don't Cry""","Fergie",2007,4
"""Buy U a Drank (Shawty Snappin')""","T-Pain featuring Yung Joc",2007,5
"""Before He Cheats""","Carrie Underwood",2007,6
"""Hey There Delilah""","Plain White T's",2007,7
"""I Wanna Love You""","Akon featuring Snoop Dogg",2007,8
"""Say It Right""","Nelly Furtado",2007,9
"""Glamorous""","Fergie featuring Ludacris",2007,10
"""Don't Matter""","Akon",2007,11
"""Girlfriend""","Avril Lavigne",2007,12
"""Makes Me Wonder""","Maroon 5",2007,13
"""Party Like a Rockstar""","Shop Boyz",2007,14
"""Smack That""","Akon featuring Eminem",2007,15
"""This Is Why I'm Hot""","Mims",2007,16
"""It's Not Over""","Daughtry",2007,17
"""The Way I Are""","Timbaland featuring Keri Hilson",2007,18
"""Fergalicious""","Fergie featuring will.i.am",2007,19
"""Crank That (Soulja Boy)""","Soulja Boy Tell 'Em",2007,20
"""Low""","Flo Rida featuring T-Pain",2008,1
"""Bleeding Love""","Leona Lewis",2008,2
"""No One""","Alicia Keys",2008,3
"""Lollipop""","Lil Wayne featuring Static Major",2008,4
"""Apologize""","OneRepublic",2008,5
"""No Air""","Jordin Sparks and Chris Brown",2008,6
"""Love Song""","Sara Bareilles",2008,7
"""Love in This Club""","Usher featuring Young Jeezy",2008,8
"""With You""","Chris Brown",2008,9
"""Forever""","Chris Brown",2008,10
"""Sexy Can I""","Ray J featuring Yung Berg",2008,11
"""Take a Bow""","Rihanna",2008,12
"""Viva la Vida""","Coldplay",2008,13
"""I Kissed a Girl""","Katy Perry",2008,14
"""Whatever You Like""","T.I.",2008,15
"""Disturbia""","Rihanna",2008,16
"""Don't Stop the Music""","Rihanna",2008,17
"""Pocketful of Sunshine""","Natasha Bedingfield",2008,18
"""Kiss Kiss""","Chris Brown featuring T-Pain",2008,19
"""Closer""","Ne-Yo",2008,20
"""Boom Boom Pow""","The Black Eyed Peas",2009,1
"""Poker Face""","Lady Gaga",2009,2
"""Just Dance""","Lady Gaga featuring Colby O'Donis",2009,3
"""I Gotta Feeling""","The Black Eyed Peas",2009,4
"""Love Story""","Taylor Swift",2009,5
"""Right Round""","Flo Rida",2009,6
"""I'm Yours""","Jason Mraz",2009,7
"""Single Ladies (Put a Ring on It)""","Beyoncé",2009,8
"""Heartless""","Kanye West",2009,9
"""Gives You Hell""","The All-American Rejects",2009,10
"""You Belong with Me""","Taylor Swift",2009,11
"""Dead and Gone""","T.I. featuring Justin Timberlake",2009,12
"""You Found Me""","The Fray",2009,13
"""Use Somebody""","Kings of Leon",2009,14
"""Knock You Down""","Keri Hilson featuring Kanye West and Ne-Yo",2009,15
"""Blame It""","Jamie Foxx featuring T-Pain",2009,16
"""I Know You Want Me (Calle Ocho)""","Pitbull",2009,17
"""Live Your Life""","T.I. featuring Rihanna",2009,18
"""Kiss Me thru the Phone""","Soulja Boy Tell 'Em featuring Sammie",2009,19
"""Down""","Jay Sean featuring Lil Wayne",2009,20
"""Tik Tok""","Kesha",2010,1
"""Need You Now""","Lady Antebellum",2010,2
"""Hey, Soul Sister""","Train",2010,3
"""California Gurls""","Katy Perry featuring Snoop Dogg",2010,4
"""OMG""","Usher featuring will.i.am",2010,5
"""Airplanes""","B.o.B featuring Hayley Williams",2010,6
"""Love the Way You Lie""","Eminem featuring Rihanna",2010,7
"""Bad Romance""","Lady Gaga",2010,8
"""Dynamite""","Taio Cruz",2010,9
"""Break Your Heart""","Taio Cruz featuring Ludacris",2010,10
"""Nothin' on You""","B.o.B featuring Bruno Mars",2010,11
"""I Like It""","Enrique Iglesias featuring Pitbull",2010,12
"""BedRock""","Young Money featuring Lloyd",2010,13
"""In My Head""","Jason Derulo",2010,14
"""Rude Boy""","Rihanna",2010,15
"""Telephone""","Lady Gaga featuring Beyoncé",2010,16
"""Teenage Dream""","Katy Perry",2010,17
"""Just the Way You Are""","Bruno Mars",2010,18
"""Cooler Than Me""","Mike Posner",2010,19
"""Imma Be""","The Black Eyed Peas",2010,20
"""Rolling in the Deep""","Adele",2011,1
"""Party Rock Anthem""","LMFAO featuring Lauren Bennett and GoonRock",2011,2
"""Firework""","Katy Perry",2011,3
"""E.T.""","Katy Perry featuring Kanye West",2011,4
"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",2011,5
"""Grenade""","Bruno Mars",2011,6
"""Fuck You (Forget You)""","CeeLo Green",2011,7
"""Super Bass""","Nicki Minaj",2011,8
"""Moves like Jagger""","Maroon 5 featuring Christina Aguilera",2011,9
"""Just Can't Get Enough""","The Black Eyed Peas",2011,10
"""On the Floor""","Jennifer Lopez featuring Pitbull",2011,11
"""S&M""","Rihanna",2011,12
"""Pumped Up Kicks""","Foster the People",2011,13
"""Last Friday Night (T.G.I.F.)""","Katy Perry",2011,14
"""Just the Way You Are""","Bruno Mars",2011,15
"""Tonight (I'm Lovin' You)""","Enrique Iglesias featuring Ludacris and DJ Frank E",2011,16
"""Raise Your Glass""","Pink",2011,17
"""Born This Way""","Lady Gaga",2011,18
"""Fuckin' Perfect""","Pink",2011,19
"""What's My Name?""","Rihanna featuring Drake",2011,20
NA,NA,2012,1
NA,NA,2012,2
NA,NA,2012,3
NA,NA,2012,4
NA,NA,2012,5
NA,NA,2012,6
NA,NA,2012,7
NA,NA,2012,8
NA,NA,2012,9
NA,NA,2012,10
NA,NA,2012,11
NA,NA,2012,12
NA,NA,2012,13
NA,NA,2012,14
NA,NA,2012,15
NA,NA,2012,16
NA,NA,2012,17
NA,NA,2012,18
NA,NA,2012,19
NA,NA,2012,20
NA,NA,2013,1
NA,NA,2013,2
NA,NA,2013,3
NA,NA,2013,4
NA,NA,2013,5
NA,NA,2013,6
NA,NA,2013,7
NA,NA,2013,8
NA,NA,2013,9
NA,NA,2013,10
NA,NA,2013,11
